date_of_sleep,asleep_seconds,awake_seconds,category,time_hours,time_minutes,time_seconds,seconds_count,deep_seconds,light_seconds,rem_seconds,Heart Rate,label,weekday
2024-02-07,20700,3300,awake,23,17,0,30,360.0,15000.0,5340.0,,,Wednesday
2024-02-07,20700,3300,light,23,17,30,150,360.0,15000.0,5340.0,,,Wednesday
2024-02-07,20700,3300,awake,23,20,0,540,360.0,15000.0,5340.0,,,Wednesday
2024-02-07,20700,3300,light,23,29,0,4980,360.0,15000.0,5340.0,,,Wednesday
2024-02-07,20700,3300,rem,0,52,0,390,360.0,15000.0,5340.0,,,Wednesday
2024-02-07,20700,3300,light,0,58,30,2220,360.0,15000.0,5340.0,,,Wednesday
2024-02-07,20700,3300,rem,1,35,30,270,360.0,15000.0,5340.0,,,Wednesday
2024-02-07,20700,3300,awake,1,40,0,720,360.0,15000.0,5340.0,,,Wednesday
2024-02-07,20700,3300,light,1,52,0,1650,360.0,15000.0,5340.0,,,Wednesday
2024-02-07,20700,3300,deep,2,19,30,330,360.0,15000.0,5340.0,,,Wednesday
2024-02-07,20700,3300,light,2,25,0,1440,360.0,15000.0,5340.0,,,Wednesday
2024-02-07,20700,3300,rem,2,49,0,1410,360.0,15000.0,5340.0,,,Wednesday
2024-02-07,20700,3300,light,3,12,30,2700,360.0,15000.0,5340.0,,,Wednesday
2024-02-07,20700,3300,rem,3,57,30,1740,360.0,15000.0,5340.0,,,Wednesday
2024-02-07,20700,3300,light,4,26,30,660,360.0,15000.0,5340.0,,,Wednesday
2024-02-07,20700,3300,rem,4,37,30,1410,360.0,15000.0,5340.0,,,Wednesday
2024-02-07,20700,3300,light,5,1,0,390,360.0,15000.0,5340.0,,,Wednesday
2024-02-07,20700,3300,rem,5,7,30,420,360.0,15000.0,5340.0,,,Wednesday
2024-02-07,20700,3300,light,5,14,30,2040,360.0,15000.0,5340.0,,,Wednesday
2024-02-07,20700,3300,awake,5,48,30,540,360.0,15000.0,5340.0,,,Wednesday
2024-02-05,15060,1860,awake,1,0,30,300,4200.0,7740.0,3120.0,,,Monday
2024-02-05,15060,1860,light,1,5,30,750,4200.0,7740.0,3120.0,,,Monday
2024-02-05,15060,1860,deep,1,18,0,2010,4200.0,7740.0,3120.0,,,Monday
2024-02-05,15060,1860,light,1,51,30,810,4200.0,7740.0,3120.0,,,Monday
2024-02-05,15060,1860,rem,2,5,0,300,4200.0,7740.0,3120.0,,,Monday
2024-02-05,15060,1860,light,2,10,0,1230,4200.0,7740.0,3120.0,,,Monday
2024-02-05,15060,1860,rem,2,30,30,420,4200.0,7740.0,3120.0,,,Monday
2024-02-05,15060,1860,light,2,37,30,720,4200.0,7740.0,3120.0,,,Monday
2024-02-05,15060,1860,deep,2,49,30,420,4200.0,7740.0,3120.0,,,Monday
2024-02-05,15060,1860,light,2,56,30,420,4200.0,7740.0,3120.0,,,Monday
2024-02-05,15060,1860,deep,3,3,30,1770,4200.0,7740.0,3120.0,,,Monday
2024-02-05,15060,1860,light,3,33,0,1200,4200.0,7740.0,3120.0,,,Monday
2024-02-05,15060,1860,rem,3,53,0,780,4200.0,7740.0,3120.0,,,Monday
2024-02-05,15060,1860,light,4,6,0,2820,4200.0,7740.0,3120.0,,,Monday
2024-02-05,15060,1860,rem,4,53,0,1800,4200.0,7740.0,3120.0,,,Monday
2024-02-05,15060,1860,light,5,23,0,210,4200.0,7740.0,3120.0,,,Monday
2024-02-05,15060,1860,awake,5,26,30,960,4200.0,7740.0,3120.0,,,Monday
2024-02-04,22320,3720,awake,23,22,30,450,4740.0,14220.0,3360.0,,,Sunday
2024-02-04,22320,3720,light,23,30,0,2250,4740.0,14220.0,3360.0,,,Sunday
2024-02-04,22320,3720,deep,0,7,30,390,4740.0,14220.0,3360.0,,,Sunday
2024-02-04,22320,3720,light,0,14,0,240,4740.0,14220.0,3360.0,,,Sunday
2024-02-04,22320,3720,rem,0,18,0,330,4740.0,14220.0,3360.0,,,Sunday
2024-02-04,22320,3720,light,0,23,30,3780,4740.0,14220.0,3360.0,,,Sunday
2024-02-04,22320,3720,rem,1,26,30,1320,4740.0,14220.0,3360.0,,,Sunday
2024-02-04,22320,3720,light,1,48,30,2130,4740.0,14220.0,3360.0,,,Sunday
